window_id,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13
W000adee795ae7cdb0000,0.9197381017276047,0.004261100443515278,0.0037104462465386047,0.0005615663439242298,0.003062227932137996,0.026163113173322945,0.0008358996102889983,0.0002236512458529016,0.0011131744552747398,1.0577258418698098e-05,0.00042565793731593984,0.03890645545565933,0.0005629025680367753
W000adee795ae7cdb0001,0.92181343504089,0.004816684293285069,0.003154657630038866,0.0020426007856696182,0.0022292714760348375,0.02700620563451953,0.0008371239412608486,0.0002238390244749089,0.0005575702851499267,1.0798992237473897e-05,0.0005646734095856156,0.03644426303694088,1.5143168631226791e-05
W000adee795ae7cdb0002,0.9194540150759376,0.005742732474586807,0.0030608611796935892,0.0014861528009549167,0.0011186437183970518,0.030144189417604415,0.0008427532802684011,0.0005570632204206872,0.0005575801108570339,0.001122560499143002,0.0002937813215550666,0.03533234526815491,4.0177984302466055e-06
W000adee795ae7cdb0003,0.918927244202527,0.004538946776541888,0.005006621304264351,0.0012094852614004186,0.0011182223256389662,0.02783387122017815,0.0008383720955996045,0.0002236782154675923,0.000557474245174387,0.0009565930720898786,0.00028896580711190956,0.037283807869390555,0.0009335574187109481
W000adee795ae7cdb0004,0.9256089968799401,0.004538881749487099,0.0036174862195664974,0.0009307400328733454,0.0011177963009970516,0.02643798205434588,0.0008357118133563735,1.4099364548428847e-06,0.0005575311048874824,1.064986668311771e-05,0.000301933111369093,0.035103706875660244,0.0009315489751620315
W000adee795ae7cdb0005,0.8844956891212469,0.005094497118710493,0.002228898301057684,0.0009313165159512684,0.00097928273045017,0.05375437166397227,0.00028093189324878543,1.4506593268752008e-06,0.0005577494833033612,1.1056659323849418e-05,0.0002949924831997426,0.04816012825441487,0.0032031434563272033
W000adee795ae7cdb0006,0.8774869260417734,0.006761177363828618,0.0037110177433385926,0.0009685659467551538,0.0011182415050228509,0.053969674741764735,0.0002938434473849082,0.00022368802366198862,0.0005574580707312728,0.0005664437745926314,0.00028706872896113323,0.05070255587851297,0.002791757974820068
W00d9b92b429254d10000,0.0070851921668642825,0.6039847118891535,0.001206629965011209,1.5100309321805621e-06,0.0014915604859712034,0.0006955592786265953,0.0037558495111249947,0.003823032720240409,0.36673842987941874,0.0016682486272831883,0.006059959589948383,0.0002824052497403412,0.0011664023384727119
W00d9b92b429254d10001,0.007925816869657785,0.7931213839118009,0.0012066633061667547,2.7340826246318738e-05,0.0006592333934913663,0.0018066438056107256,0.0036641207603123923,0.0038723169422242277,0.17789741442281715,0.0011125791712896919,0.005739937756004468,0.0002822903216328691,0.0006376555473530539
W00d9b92b429254d10002,0.008474211519861871,0.6049919801118404,0.0017622006254520983,1.1866033886843094e-05,0.00010273175032251778,0.001251085418607236,0.0023646048098240717,0.00969375875254188,0.3587829229380329,0.0011125523849969691,0.007943469604613354,0.00028226903871698646,0.0006304069532823869
